,ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
47,4D6D67,485,441,76,458,558,667,607,653,770,107,381,534,839,585,605,483,120,346,508,494,527,607,638,142,326,622,568,602,513,363,NA
48,4D6D94,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
49,4D6AE3,258,0,0,131,317,383,809,376,242,0,163,414,446,205,197,0,0,0,171,409,479,169,0,15,155,326,436,279,0,0,NA
50,4D6ABF,1033,766,2,371,416,525,492,368,35,15,123,382,336,549,817,677,6,2,654,897,924,949,853,109,288,577,135,139,489,33,NA
51,4D6CCD,402,1056,281,110,165,145,188,505,1100,449,47,716,705,766,725,23,21,9,326,1062,1064,627,125,19,473,202,412,1058,1060,460,NA
52,4D6AE0,247,0,0,269,272,86,526,508,0,0,264,667,553,457,329,0,0,0,413,656,639,456,0,0,292,730,1101,1233,1188,414,NA
53,2A0DA69,190,0,0,369,653,442,449,71,10,0,309,508,511,556,375,12,0,2,444,507,714,667,374,38,291,613,530,474,492,74,NA
54,4D6E56,569,584,296,191,553,378,519,423,199,411,271,459,401,476,504,595,264,263,315,663,575,404,235,242,260,620,277,628,492,617,NA
55,4D6A96,10,120,65,63,78,95,18,4,67,0,33,13,4,404,63,0,0,0,106,369,291,17,20,2,0,53,76,84,0,0,NA
56,4D6E5F,0,0,0,6,14,0,0,0,0,0,30,5,12,20,40,5,2,0,10,2,12,20,0,12,30,9,21,9,8,0,NA
57,4D6D93,393,769,316,581,621,520,543,586,370,37,413,481,385,974,883,840,90,234,605,846,533,541,561,74,602,677,834,793,649,609,NA
58,4D6CAD,995,992,374,697,823,979,949,832,850,323,656,949,937,841,1001,987,329,636,755,968,989,955,602,0,719,958,1003,661,1010,986,NA
